countryname;Year;gdp_capita_growth
Estonia;2013;2,119282819
Finland;2013;-1,434901579
Germany;2013;0,112643825
Greece;2013;-1,56089622
Ireland;2013;1,655490762
Italy;2013;-2,949628964
Latvia;2013;3,195452572
Luxembourg;2013;0,814652309
Netherlands;2013;-0,324530075
Norway;2013;-0,197883222
Poland;2013;0,745031977
Portugal;2013;-0,439198573
Romania;2013;0,651822267
Slovenia;2013;-0,958294077
Spain;2013;-1,103800294
Sweden;2013;0,284348029
Switzerland;2013;0,628360675
Austria;2014;-0,028580322
Bulgaria;2014;1,524868578
Croatia;2014;0,207889837
Czechia;2014;2,137627541
Denmark;2014;0,765766117
Estonia;2014;3,594113556
Finland;2014;-0,888801526
Germany;2014;1,744463973
Greece;2014;1,465856528
Ireland;2014;8,539699968
Italy;2014;-0,914682837
Latvia;2014;3,06097364
Luxembourg;2014;0,232564441
Netherlands;2014;1,247636309
Norway;2014;0,90376265
Poland;2014;3,998318321
Portugal;2014;1,286046494
Romania;2014;4,506725444
Slovenia;2014;2,661812109
Spain;2014;1,824436596
Sweden;2014;1,285783954
Switzerland;2014;1,108693594
Austria;2015;0,174259505
Bulgaria;2015;4,059410787
Croatia;2015;3,552342243
Czechia;2015;4,752624066
Denmark;2015;1,385666344
Estonia;2015;1,771421436
Finland;2015;0,136127446
Germany;2015;0,776507657
Greece;2015;0,431225508
Ireland;2015;23,44369055
Italy;2015;0,982944212
Latvia;2015;4,63645028
Luxembourg;2015;-0,115476306
Netherlands;2015;1,668987756
Norway;2015;0,848799124
Poland;2015;4,501384676
Portugal;2015;2,011395801
Romania;2015;3,643069411
Slovenia;2015;2,316347428
Spain;2015;4,14163767
Sweden;2015;3,311867854
Switzerland;2015;0,494129822
Austria;2016;1,018877258
Bulgaria;2016;3,751779328
Croatia;2016;4,591202433
Czechia;2016;2,384054262
Denmark;2016;2,271801501
Estonia;2016;3,063007531
Finland;2016;2,277543814
Germany;2016;1,472292629
Greece;2016;0,384851418
Ireland;2016;0,086428016
Italy;2016;1,408351493
Latvia;2016;3,493186233
Luxembourg;2016;2,739791802
Netherlands;2016;1,880653181
Norway;2016;0,277407784
Poland;2016;3,075475283
Portugal;2016;2,326430433
Romania;2016;3,451695415
Slovenia;2016;2,959023236
Spain;2016;2,828301278
