countryname;Year;GDP_per_capita
Denmark;2002;33257,16226
Estonia;2002;5343,183108
Finland;2002;26989,38926
Germany;2002;25486,5942
Greece;2002;13782,19564
Ireland;2002;32705,43456
Italy;2002;22463,52221
Latvia;2002;4003,609358
Luxembourg;2002;53005,73392
Netherlands;2002;29446,53309
Norway;2002;43170,55717
Poland;2002;5223,45179
Portugal;2002;12936,69282
Romania;2002;2119,855097
Slovak Republic;2002;6554,628084
Slovenia;2002;11639,12978
Spain;2002;17111,06851
Sweden;2002;29957,93877
Switzerland;2002;42458,73847
Austria;2003;32110,11597
Bulgaria;2003;2719,494369
Croatia;2003;8190,111352
Czechia;2003;9852,456779
Denmark;2003;40519,09749
Estonia;2003;7205,407033
Finland;2003;32920,08572
Germany;2003;30711,10225
Greece;2003;18020,61204
Ireland;2003;41203,52958
Italy;2003;27618,94177
Latvia;2003;4914,579928
Luxembourg;2003;65689,32145
Netherlands;2003;35896,75046
Norway;2003;50250,32982
Poland;2003;5720,813662
Portugal;2003;15797,78213
Romania;2003;2679,40626
Slovak Republic;2003;8675,396337
Slovenia;2003;14711,67487
Spain;2003;21522,0171
Sweden;2003;37292,42143
Switzerland;2003;49335,74563
Austria;2004;36614,25065
Bulgaria;2004;3389,687434
Croatia;2004;9718,973228
Czechia;2004;11782,55467
Denmark;2004;46625,0501
Estonia;2004;8916,072827
Finland;2004;37768,13342
Germany;2004;34566,73591
Greece;2004;21449,25528
Ireland;2004;47754,20232
Italy;2004;31425,82087
Latvia;2004;6109,732652
Luxembourg;2004;76544,91709
Netherlands;2004;40611,34144
Norway;2004;57768,6981
Poland;2004;6711,727153
Portugal;2004;18064,15809
Romania;2004;3494,990564
Slovak Republic;2004;10650,12901
Slovenia;2004;17103,82978
Spain;2004;24925,02678
Sweden;2004;42758,20155
Switzerland;2004;54659,45715
Austria;2005;38157,37023
Bulgaria;2005;3899,825963
Croatia;2005;10443,52784
Czechia;2005;13442,49163
Denmark;2005;48925,80767
Estonia;2005;10414,63812
Finland;2005;39049,87038
Germany;2005;35084,43635
Greece;2005;22054,13158
Ireland;2005;50933,02161
Italy;2005;32171,79337
Latvia;2005;7283,787381
Luxembourg;2005;80988,13762
Netherlands;2005;42165,39617
Norway;2005;67047,17046
Poland;2005;8043,923323
Portugal;2005;18780,12751
Romania;2005;4618,003508
Slovak Republic;2005;11641,54103
Slovenia;2005;17969,70959
Spain;2005;26450,95301
Sweden;2005;43378,61521
Switzerland;2005;56242,89336
Austria;2006;40382,20783
Bulgaria;2006;4523,146558
Croatia;2006;11502,75312
Czechia;2006;15259,07882
Denmark;2006;52119,1788
Estonia;2006;12641,4801
Finland;2006;41214,01878
Germany;2006;36980,33499
Greece;2006;24416,0233
Ireland;2006;54329,16186
Italy;2006;33684,72004
Latvia;2006;9211,737447
Luxembourg;2006;90788,80049
Netherlands;2006;45123,54324
Norway;2006;74434,49968
Poland;2006;9068,855283
Portugal;2006;19839,45405
Romania;2006;5757,531273
Slovak Republic;2006;13167,89547
Slovenia;2006;19563,00506
Spain;2006;28421,68653
Sweden;2006;46531,60011
Switzerland;2006;59011,03246
Austria;2007;46622,96229
Bulgaria;2007;5888,776852
Croatia;2007;13757,60565
Czechia;2007;18452,65328
Denmark;2007;58631,65664
Estonia;2007;16745,4308
Finland;2007;48473,02401
Germany;2007;42350,92172
Greece;2007;28440,76253
Ireland;2007;61396,41746
Italy;2007;38031,97095
Latvia;2007;13370,97895
Luxembourg;2007;107475,3203
Netherlands;2007;52100,79963
Norway;2007;85502,26771
Poland;2007;11272,52937
Portugal;2007;22811,05648
Romania;2007;8360,337759
Slovak Republic;2007;16110,48173
Slovenia;2007;23725,1596
Spain;2007;32652,01559
Sweden;2007;53568,56455
Switzerland;2007;64989,15533
Austria;2008;51581,39824
Bulgaria;2008;7271,303389
Croatia;2008;15889,43471
Czechia;2008;22774,70451
Denmark;2008;64616,66576
Estonia;2008;18205,90641
Finland;2008;53769,47262
Germany;2008;46386,32959
Greece;2008;31695,83311
Ireland;2008;61353,10656
Italy;2008;41095,40634
Latvia;2008;15677,60809
Luxembourg;2008;120422,1379
Netherlands;2008;58246,70269
Norway;2008;97503,54078
Poland;2008;14048,56047
Portugal;2008;24949,04136
Romania;2008;10435,15612
Slovak Republic;2008;18744,31923
Slovenia;2008;27461,97642
Spain;2008;35603,24833
Sweden;2008;55817,43927
Switzerland;2008;74175,19279
Austria;2009;47857,44466
Bulgaria;2009;6988,273163
Croatia;2009;14475,96329
Czechia;2009;19817,42158
Denmark;2009;58412,74724
Estonia;2009;14712,44942
Finland;2009;47478,34953
Germany;2009;42487,21371
Greece;2009;29425,45732
Ireland;2009;52133,09092
Italy;2009;37388,45371
Latvia;2009;11996,03227
Luxembourg;2009;109419,747
Netherlands;2009;53172,02616
Norway;2009;80347,57007
Poland;2009;11556,30269
Portugal;2009;23151,21541
Romania;2009;8548,454341
Slovak Republic;2009;16586,75278
Slovenia;2009;24501,78973
Spain;2009;32279,82085
Sweden;2009;46707,86732
Switzerland;2009;71568,31239
Austria;2010;46611,13934
Bulgaria;2010;6863,667068
Croatia;2010;13731,28652
Czechia;2010;20160,43551
Denmark;2010;58104,54456
Estonia;2010;14663,7041
Finland;2010;46506,2919
Germany;2010;42409,9357
Greece;2010;26653,0488
Ireland;2010;48679,40268
Italy;2010;36184,71187
Latvia;2010;11188,41917
Luxembourg;2010;110885,9914
Netherlands;2010;51305,73385
Norway;2010;88163,20859
Poland;2010;12567,73177
Portugal;2010;22551,9351
Romania;2010;8399,537423
Slovak Republic;2010;16899,44868
Slovenia;2010;23329,84177
Spain;2010;30658,74223
Sweden;2010;52542,82741
Switzerland;2010;76531,37294
Austria;2011;51116,89535
Bulgaria;2011;7857,16707
Croatia;2011;14694,99932
Czechia;2011;22049,10808
Denmark;2011;61809,7379
Estonia;2011;17555,54552
Finland;2011;51060,32426
Germany;2011;47646,58204
Greece;2011;25504,78665
Ireland;2011;52692,78131
Italy;2011;38851,38813
Latvia;2011;12902,57405
Luxembourg;2011;119025,0572
Netherlands;2011;54701,7728
Norway;2011;101221,8135
Poland;2011;13867,66694
Portugal;2011;23246,54254
Romania;2011;9560,675528
Slovak Republic;2011;18469,43543
Slovenia;2011;24940,62848
Spain;2011;31824,62191
Sweden;2011;60379,77482
Switzerland;2011;90476,75897
Austria;2012;48250,40591
Bulgaria;2012;7430,73738
Croatia;2012;13508,6837
Czechia;2012;20014,0354
Denmark;2012;58443,77471
Estonia;2012;17568,2138
Finland;2012;47551,67408
Germany;2012;44735,58823
Greece;2012;21624,34605
Ireland;2012;49411,73875
Italy;2012;35235,79891
Latvia;2012;13329,34999
Luxembourg;2012;112584,6763
Netherlands;2012;50473,9442
Norway;2012;102175,9193
Poland;2012;13087,42094
Portugal;2012;20593,42742
Romania;2012;8929,953662
Slovak Republic;2012;17516,96911
Slovenia;2012;22442,14179
Spain;2012;28456,44382
Sweden;2012;57749,82513
Switzerland;2012;85836,20768
Austria;2013;50305,35458
Bulgaria;2013;7687,713682
Croatia;2013;14136,39677
Czechia;2013;20260,4955
Denmark;2013;61377,59406
Estonia;2013;19310,38749
Finland;2013;49691,01452
Germany;2013;47220,01021
Greece;2013;21573,34498
Ireland;2013;52619,21237
Italy;2013;35747,70795
Latvia;2013;14484,47153
Luxembourg;2013;120000,1407
Netherlands;2013;52602,28605
Norway;2013;103553,8401
Poland;2013;13621,90238
Portugal;2013;21676,48596
Romania;2013;9497,674116
Slovak Republic;2013;18312,78051
Slovenia;2013;23236,96553
Spain;2013;29218,91052
Sweden;2013;60844,27671
Switzerland;2013;87304,33058
Austria;2014;51314,97226
Bulgaria;2014;7912,274844
Croatia;2014;14187,96945
Czechia;2014;20038,41632
Denmark;2014;62520,45097
Estonia;2014;20581,7899
Finland;2014;50073,77608
Germany;2014;48971,08247
Greece;2014;21474,72571
Ireland;2014;57278,25909
Italy;2014;35750,71975
Latvia;2014;15185,81458
Luxembourg;2014;123678,7021
Netherlands;2014;53457,22349
Norway;2014;97666,69518
Poland;2014;14262,28419
Portugal;2014;22120,68501
Romania;2014;10031,77108
Slovak Republic;2014;18770,92899
Slovenia;2014;24013,06821
Spain;2014;29694,88749
Sweden;2014;59583,714
Switzerland;2014;88724,99094
Austria;2015;43915,22802
Bulgaria;2015;7078,860323
Croatia;2015;12285,30326
Czechia;2015;17931,59877
Denmark;2015;53094,01336
